endTime,artistName,trackName,msPlayed
2020-01-20 16:39,SHDW,Aus der Tiefe der Zeit,53737
2020-01-20 16:41,Raffaele Rizzi,Skynet - Chus & Ceballos Remix,104795
2020-01-20 16:41,AKA AKA,Narcotica,6447
2020-01-20 16:42,Worakls,Salzburg,96002
2020-01-20 16:44,NTO,Trauma - Worakls Remix,121128
2020-01-20 18:45,NTO,Trauma - Worakls Remix,275373
2020-01-20 19:20,Gemischtes Hack,#49 ES ZIEHT IM PARADIES,1638456
2020-01-20 22:15,Gemischtes Hack,#49 ES ZIEHT IM PARADIES,120020
2020-01-21 01:33,Gemischtes Hack,#49 ES ZIEHT IM PARADIES,982573
2020-01-21 08:51,Gemischtes Hack,#49 ES ZIEHT IM PARADIES,836560
2020-01-21 09:05,Gemischtes Hack,#49 ES ZIEHT IM PARADIES,520019
2020-01-21 09:06,Gemischtes Hack,#50 FROHE WEIHNACHTEN,55756
2020-01-21 11:33,Gemischtes Hack,#50 FROHE WEIHNACHTEN,2661959
